(NORTH DAKOTA, v. BIRCHFIELD is, 2016)
(States, now impose, penalties for recidivists for drivers)
(drivers, is with, BAC level)
(States, impose, penalties)
(many States, impose, penalties for recidivists)
(States, now impose, penalties for recidivists)
(many States, impose, increased penalties for recidivists)
(many States, now impose, increased penalties for drivers)
(many States, now impose, penalties)
(many States, impose, increased penalties for recidivists for drivers)
(many States, now impose, increased penalties for recidivists)
(many States, impose, penalties)
(many States, now impose, increased penalties for recidivists for drivers)
(States, impose, penalties for drivers)
(States, impose, increased penalties for recidivists)
(many States, impose, penalties for drivers)
(States, now impose, penalties for drivers)
(States, now impose, penalties)
(States, impose penalties In, addition)
(States, now impose, increased penalties for recidivists for drivers)
(many States, impose, penalties for recidivists for drivers)
(many States, now impose, increased penalties)
(many States, impose, increased penalties for drivers)
(States, impose, increased penalties for recidivists for drivers)
(many States, now impose penalties In, addition)
(many States, now impose, penalties for drivers)
(many States, now impose, penalties for recidivists for drivers)
(license suspension, is In, North Dakota)
(standard penalty, is, for example license suspension)
(penalty, is, for example license suspension)
(standard penalty, is, license suspension)
(standard penalty, is, In North Dakota license suspension)
(standard penalty, is, In North Dakota for example license suspension)
(penalty, is, In North Dakota license suspension)
(penalty, is, In North Dakota for example license suspension)
(penalty, is, license suspension)
(offender, must spend at_time, at least two days)
(offender, must spend in, jail)
(days, two at, least)
(offender, is with, BAC of 0.16 %)
(State, imposes, increased sentences for recidivists)
(State, imposes, mandatory sentences)
(State, imposes, increased minimum sentences for recidivists)
(State, imposes, mandatory minimum sentences for drunk-driving recidivists)
(State, imposes, increased minimum sentences)
(State, imposes, minimum sentences)
(State, imposes, increased sentences for drunk-driving recidivists)
(State, imposes, sentences for drunk-driving recidivists)
(State, imposes, mandatory sentences for drunk-driving recidivists)
(State, imposes, increased mandatory sentences for drunk-driving recidivists)
(State, imposes, increased mandatory minimum sentences for drunk-driving recidivists)
(State, imposes, increased sentences)
(State, imposes, sentences)
(State, imposes, mandatory sentences for recidivists)
(State, imposes, increased mandatory sentences)
(State, imposes, increased mandatory sentences for recidivists)
(State, imposes, minimum sentences for drunk-driving recidivists)
(State, imposes, increased mandatory minimum sentences)
(State, imposes, mandatory minimum sentences for recidivists)
(State, imposes, minimum sentences for recidivists)
(State, imposes, increased minimum sentences for drunk-driving recidivists)
(State, imposes, increased mandatory minimum sentences for recidivists)
(State, imposes, mandatory minimum sentences)
(State, imposes, sentences for recidivists)
(State, imposes sentences In, addition)
(other States, have taken, approach)
(Many other States, have taken, approach)
(structure, undermine, effectiveness)
(new structure, undermine, effectiveness of consent laws)
(other States, have taken, similar approach)
(Many other States, have taken, similar approach)
(structure, undermine, effectiveness of implied consent laws)
(new structure, undermine, effectiveness of implied consent laws)
(new structure, undermine, effectiveness)
(structure, undermine, effectiveness of consent laws)
(penalty, penalty, driving with greatly elevated BAC for repeat violations)
(penalty, penalty, driving with BAC)
(penalty, penalty, driving for repeat violations)
(penalty, penalty, driving)
(penalty, penalty, driving with elevated BAC for repeat violations)
(penalty, penalty, driving with BAC for repeat violations)
(penalty, penalty, driving with elevated BAC)
(penalty, penalty, driving with greatly elevated BAC)
(refusal rate, is, high)
(refusal rate, is high in, States)
(NHTSA, Rates in, United States)
(Breath Test Refusal Rates, is in, United States)
(rate, was, representative)
(refusal rate, was, 21 %)
(representative 21 %, is In, North Dakota)
(refusal rate, was, In North Dakota 21 %)
(refusal rate, was, representative 21 %)
(refusal rate, was, In North Dakota representative 21 %)
(Minnesota, was below, average at 12 %)
(Minnesota, was below, average)
(States, combat, problem of test refusal)
(States, enact, laws)
(States, enact, laws making)
(it, crime, refuse)
(States, combat, problem)
(Minnesota, has taken approach for, decades)
(Minnesota, has taken, approach)
(its refusal rate, is below, why now average)
(its refusal rate, is below, why average)
(its refusal rate, is below, now average)
(its refusal rate, is below, national average)
(its refusal rate, is below, now national average)
(its refusal rate, is below, why national average)
(its refusal rate, is below, why now national average)
(its refusal rate, is below, average)
(Minnesota, has, rate)
(Federal Government, also encourages, approach)
(Federal Government, encourages, approach)
(20, at NHTSA is, Refusal of Intoxication Testing)
(NHTSA, Refusal of, Intoxication Testing)
(Petitioner Danny Birchfield, accidentally drove, his car)
(Petitioner Danny Birchfield, drove, his car)
(Birchfield, unsuccessfully tried, drive)
(Birchfield, tried, drive)
(his car, was, stuck)
(Birchfield, tried, drive back)
(state trooper, arrived, Birchfield unsuccessfully tried)
(state trooper, arrived, Birchfield tried)
(Birchfield, unsuccessfully tried, drive back)
(trooper, caught, whiff of alcohol)
(Birchfield 's eyes, were, bloodshot)
(trooper, caught, strong whiff of alcohol)
(trooper, caught, whiff)
(Birchfield, has, eyes)
(trooper, caught, strong whiff)
(Birchfield, struggled, stay)
(Birchfield, spoke in, slurred speech)
(Birchfield, struggled, stay on his feet)
(Birchfield, spoke in, speech)
(Birchfield, agreed At, trooper 's request)
(trooper, At, request)
(several field sobriety tests, performed poorly on, each)
(Birchfield, take, several field sobriety tests)
(Birchfield, take, field sobriety tests)
(field sobriety tests, performed poorly on, each)
(field sobriety tests, performed on, each)
(several field sobriety tests, performed on, each)
(He, counting in, compliance)
(trouble, reciting, sections of alphabet)
(compliance, is with, trooper 's directions)
(He, counting in, compliance with trooper 's directions)
(He, counting backwards in, compliance)
(He, had, trouble)
(He, counting backwards in, compliance with trooper 's directions)
(trooper, with, directions)
(trouble, reciting, sections)
(trooper, agree to, BAC test)
(trooper, informed, him)
(Birchfield, consented to, roadside breath test)
(device, is, intended)
(device, often differs from, machines used for breath tests administered in police station)
(device, often differs from, machines)
(device, often differs from, machines used for breath tests administered)
(device, differs from, machines)
(device, used for, sort test)
(device, differs from, machines used for breath tests)
(device, differs from, machines used for breath tests administered in police station)
(device, often differs from, machines used for breath tests)
(device, differs from, machines used for breath tests administered)
(driver, of, BAC)
(device, often differs from, machines used)
(device, used for, sort)
(device, differs from, machines used)
(test, be, given)
(further test, be, given)
(test, estimated In, Birchfield 's case)
(Birchfield, In, case)
(his BAC, was, 0.254 %)
(0.254 %, limit of, 0.08 %)
(screening test, estimated In, Birchfield 's case)
(state trooper, driving, impaired)
(state trooper, arrested, Birchfield)
(state trooper, informed, him)
(sentences, range from, mandatory fine)
(sentences, range In addition to, addiction treatment)
(sentences, range to, fines)
(sentences, range to, fines of $ 2,000)
(sentences, range to, fines of at least $ 2,000)
(sentences, range In addition to, mandatory addiction treatment)
(sentences, range from, fine)
(penalties, apply to, blood)
(criminal penalties, apply to, blood)
(Birchfield, refused, faced with prospect of prosecution under law)
(Birchfield, refused, faced with prospect of prosecution)
(Birchfield, refused, let)
(Birchfield, faced with, prospect)
(Birchfield, faced with, prospect of prosecution)
(his blood, be, drawn)
(Birchfield, refused, faced with prospect)
(Birchfield, refused, faced)
