(October 11 2016, Decided at_time, March 6 2017)
(juror affidavits, impeach, verdict on ground of juror misbehavior)
(juror affidavits, impeach, verdict)
(juror affidavits, were sometimes received with, caution)
(juror affidavits, were sometimes received with, only great caution)
(juror affidavits, were sometimes received with, great caution)
(juror affidavits, were received with, only caution)
(doctrine, was ruled, other way)
(doctrine, was ruled, way)
(doctrine, was distinctly ruled, way)
(doctrine, is in, England)
(doctrine, was distinctly ruled, other way)
(Govern Courts, is in, Cases Civil)
(Govern Courts, is in, Granting of New Trials)
(3 T. Waterman, Treatise on, Principles of Law)
(rule, is in, mid-19th century)
(two States, follow, rule in century)
(States, follow, rule in century)
(States, follow, rule in mid-19th century)
(two States, follow, rule in mid-19th century)
(States, follow, rule)
(two States, follow, rule)
(bias, was bias against, men)
(bias, is in, case)
(bias, was bias against, Mexican men)
(bias, was, bias)
(jury, has, deliberative process)
(influence exception, do, rather harmonize)
(extraneous influence exception, do, rather harmonize)
(influence exception, do, harmonize)
(extraneous influence exception, do, harmonize)
(120, at Tanner is, 483 U. S.)
(influence exception, protecting jury deliberations against, unwarranted interference)
(extraneous influence exception, is directed like, no-impeachment rule itself)
(extraneous influence exception, is directed like, no-impeachment rule)
(extraneous influence exception, protecting jury deliberations against, interference)
(influence exception, protecting, jury deliberations)
(extraneous influence exception, is, directed)
(influence exception, is directed like, no-impeachment rule itself)
(extraneous influence exception, protecting jury deliberations against, unwarranted interference)
(influence exception, protecting jury deliberations against, interference)
(influence exception, is directed like, no-impeachment rule)
(influence exception, is, directed)
(extraneous influence exception, protecting, jury deliberations)
(trong policy considerations, support, approach)
(trong policy considerations, support, federal approach)
(Justice Department, observed In, particular)
(Senator McClellan, member of, Senate Judiciary Committee)
(mischief, is in, Rule)
(juror, of, deliberations)
(litigants, right to, jury)
(Warger, was, civil)
(we, wrote, case)
(Warger, was, case)
(litigants, right to, impartial jury)
(criminal litigants, right to, impartial jury)
(we, wrote, civil case)
(Warger, was, civil case)
(criminal litigants, right to, jury)
(majority opinion, identifies, mechanism)
(majority opinion, identifies, fifth mechanism)
(majority opinion, is in, case)
(deliberation, improves, likelihood)
(jury instructions, explaining, jurors ' responsibilities)
(appropriate jury instructions, explaining, jurors ' responsibilities)
(thoughtful deliberation, improves, likelihood)
(thoughtful deliberation, improves likelihood in, turn)
(deliberation, improves likelihood in, turn)
(mechanism, can help like, those listed)
(mechanism, prevent, bias)
(mechanism, can help like, those)
(mechanism, can help like, those listed in Tanner)
(techniques, were, used in case for purposes)
(techniques, were used in, case)
(techniques, were used for, other purposes)
(techniques, were, used in case for other purposes)
(techniques, were, used)
(techniques, were used for, purposes)
(racial issues, is in, jury questionnaire)
(bench, discuss, matters)
(bench, discuss there, sensitive matters)
(bench, discuss there, matters)
(bench, discuss, sensitive matters)
(jurors, approach, bench)
(suggesting, use of, o questions on subjects like composition)
(issue, suggesting, use of o questions on subjects like composition)
(juror, has, relationship)
(suggesting, use of, o questions on subjects)
(issue, suggesting, use of o pen-ended questions on subjects)
(issue, suggesting, use of o pen-ended questions)
(juror, has, past experiences with persons of other races)
(issue, be, approached)
(suggesting, use of, o questions)
(issue, suggesting, use of o pen-ended questions on subjects like composition)
(issue, be, approached more indirectly)
(suggesting, use of, o pen-ended questions on subjects like composition)
(relationship, is with, co-workers of different races)
(issue, be, approached indirectly)
(suggesting, use of, o pen-ended questions)
(issue, suggesting, use of o questions on subjects)
(issue, suggesting, use)
(issue, suggesting, use of o questions)
(juror 's past experiences, is with, persons of other races)
(suggesting, use of, o pen-ended questions on subjects)
(attorneys, brief example about, judgment shaped by racial stereotype)
(attorneys, share, brief example about judgment)
(http://defendermanuals.sog.unc.edu/race/8-addressing-race-trial, last visited, Mar. 3 2017)
(jurors, share, their views)
(attorneys, share example, make)
(attorneys, share, brief example about judgment shaped by racial stereotype)
(attorneys, example about, judgment shaped)
(attorneys, example about, judgment)
(jurors, share, their own views)
(attorneys, brief example about, judgment shaped by stereotype)
(Raising Issues, is in, North Carolina Criminal Cases)
(attorneys, example about, judgment shaped by racial stereotype)
(attorneys, share, example about judgment)
(attorneys, share, example about judgment shaped)
(attorneys, share, example about judgment shaped by racial stereotype)
(it, share, their own views)
(jurors, share, their biased views)
(http://defendermanuals.sog.unc.edu/race/8-addressing-race-trial, visited, Mar. 3 2017)
(attorneys, share, brief example)
(attorneys, brief example about, judgment)
(it, share, their own biased views)
(jurors, share, their own biased views)
(attorneys, share, example about judgment shaped by stereotype)
(it, share, their biased views)
(attorneys, share, brief example about judgment shaped)
(attorneys, share, example)
(attorneys, share, brief example about judgment shaped by stereotype)
(attorneys, example about, judgment shaped by stereotype)
(attorneys, brief example about, judgment shaped)
(it, share, their views)
(attitudes, are, accurately learned)
(they, abide by, due process guarantees)
(they, abide by, legal due process guarantees)
(they, abide by, process guarantees)
(attitudes, are, accurately learned through indirection)
(attitudes, are, learned)
(they, abide by, legal process guarantees)
(attitudes, are, more accurately learned through indirection)
(attitudes, are, more accurately learned)
(attitudes, are, learned through indirection)
(participants, were, more likely)
(they, were, unable)
(participants, were, likely)
(race, is made, salient through pretrial publicity)
(race, is, made)
(race, is made, salient through publicity)
(White jurors, treat, defendants)
(White jurors, treat, way)
(White jurors, treat, same way)
(White jurors, treat, similarly situated Black defendants)
(race, is made, salient)
(White jurors, treat, situated defendants)
(race, is, when made)
(White jurors, are, likely)
(White jurors, treat, similarly situated defendants)
(White jurors, treat, Black defendants)
(White jurors, treat, situated Black defendants)
(White jurors, are, more likely)
(Black Defendants, is in, American Courtroom)
(Social Science Theory, Impact on, Racial Bias in Courtroom)
(Social Science Theory, Impact of, Prejudice Screening Procedures)
(Racial Bias, is in, Courtroom)
(voir dire, detecting, bias)
(voir dire, detecting, racial bias)
(It, is, worth)
(voir dire, were, even entirely ineffective)
(voir dire, were, ineffective)
(voir dire, were, even ineffective)
(voir dire, were, entirely ineffective)
(foreperson, circumvented, voir dire)
(foreperson, entirely circumvented, voir dire)
(allegation, was After, all)
(allegation, is in, Warger)
(Court, concluded, that)
(Court, nevertheless concluded, that)
(majority 's reliance, is, unavailing)
(majority, has, reliance on footnote 3 of Warger at 12-13)
(cases, be, so extreme)
(cases, prompt, Court)
(Court, noted In, footnote)
(cases, be, extreme)
(they, offer, little guidance)
(they, performing, analysis required by case)
(they, offer guidance As, such)
(they, offer, guidance)
(they, performing, analysis)
(they, performing, analysis required)
(Cleburne, Living, Center)
(New Orleans, S. per, curiam)
(it, putting kinds under, threat)
(it, putting, kinds)
(it, putting, other kinds)
(majority, has, emphasis on unique harms of racial bias)
(it, putting, other kinds of rules)
(it, putting, kinds of rules)
(majority, refers to, widespread rules)
(majority, approvingly refers to, rules)
(majority, refers to, rules)
(majority, approvingly refers For, example)
(attorneys ' contact, is with, jurors)
(majority, refers For, example)
(majority, approvingly refers to, widespread rules)
(lawyer, obtains, evidence of racist statements)
(lawyer, clear evidence of, statements)
(lawyer, obtains, evidence)
(lawyer, contacting jurors in, violation of rule)
(lawyer, clear evidence of, racist statements)
(lawyer, obtains, clear evidence of statements)
(lawyer, obtains, clear evidence)
(lawyer, obtains, clear evidence of racist statements)
(lawyer, evidence of, statements)
(lawyer, contacting jurors in, violation of local rule)
(lawyer, evidence of, racist statements)
(lawyer, contacting, jurors)
(lawyer, obtains, evidence of statements)
(lawyer, contacting jurors in, violation)
(Something similar, happened in, Tanner)
(Something, happened in, Tanner)
(rules, be, allowed)
(rules, be allowed, stand)
